DataSource,Eruption,Ti_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Th_ppm,U_ppm
Curryetal2021b,SnowshoeMountainTuff,6.812437202,0.605311868,879.382343,407171.7508,3.262282393,0.317123627,24.68536331,0.206571891,1.600349563,2.713420132,0.820154078,15.69837899,5.271013805,69.94686211,27.82795166,145.015345,32.48941603,310.4237655,69.09669822,9349.809536,1.163140937,109.0957307,188.8698714
Curryetal2021b,SnowshoeMountainTuff,7.426083967,0.389729592,1000.192861,441141.6659,4.226867703,NA,34.7030651,0.095991067,1.49570975,3.405580538,1.09623354,19.30210376,6.433769434,80.63508774,32.06538351,164.4686538,36.36799756,349.8300007,75.50212457,10163.37261,1.468368179,179.7685603,264.8365374
Curryetal2021b,SnowshoeMountainTuff,7.91369814,0.348573034,620.5647681,423342.0476,2.244481176,NA,23.01428875,0.048551159,0.939038945,2.422993529,0.667498378,12.09013372,4.141107613,50.68168403,19.5791197,99.93616424,22.02764296,210.9455683,46.49502357,9784.371693,0.914272573,117.6173814,182.1434413
Curryetal2021b,SnowshoeMountainTuff,10.82493716,0.314398571,737.0829189,436546.7405,1.633000623,NA,16.85949269,0.104811834,1.736399958,3.652358274,0.800282698,16.10922906,5.144348742,64.11404654,23.59449518,115.0590758,24.48633302,230.9189561,49.2030748,9927.750259,0.672679934,88.25818673,131.007102
Curryetal2021b,SnowshoeMountainTuff,6.477979911,0.403369573,1019.685954,431202.6647,5.068783743,0.077401528,43.06085663,0.10730869,1.420235768,3.483939828,0.831564887,18.04764292,6.298591117,81.75838603,32.38817705,166.1938947,36.13916288,348.4343571,75.83265522,10137.5643,1.580498248,227.3259361,313.0838433
Curryetal2021b,SnowshoeMountainTuff,11.68232351,0.278783888,486.3376336,415612.2059,1.565548844,0.099675322,16.99576161,0.070115136,0.856820137,1.933759752,0.56788792,10.26946445,3.262251091,41.45541508,15.60508601,78.54674848,17.36018224,162.987553,34.58771216,9447.145015,0.738139864,70.91814316,109.7141536
Curryetal2021b,SnowshoeMountainTuff,5.831578295,0.399413162,1150.566742,401834.4535,2.313016069,0.048868945,27.29111859,0.166583071,2.517181147,5.299727653,1.392266557,25.9842978,8.194344377,101.8975174,37.61688774,189.9851992,39.1634131,370.9833415,79.29323472,9584.797375,1.148898581,155.0070524,198.4042508
Curryetal2021b,SnowshoeMountainTuff,8.200692245,0.434035253,764.1949092,443279.9466,3.40182261,0.189973389,28.14799743,0.10863818,1.18196708,2.606068294,0.647824125,14.68971127,4.791960338,60.65411698,23.61119061,124.1174163,26.99406641,265.7109118,58.15293369,10552.33431,1.303769925,127.7085493,205.525066
Curryetal2021b,SnowshoeMountainTuff,5.379839941,0.397950285,916.778064,434671.7478,4.579372481,0.215560596,44.02924492,0.135589975,1.609519003,3.170482763,0.795997522,17.6516678,6.092650269,76.46241545,29.11142804,150.6177846,32.92314791,313.8961914,67.66111729,10824.4956,1.560587648,254.751115,349.937262
Curryetal2021b,SnowshoeMountainTuff,10.50254692,0.532088111,937.612612,459362.3877,2.73375006,0.431034528,22.48968814,0.255246462,2.584410188,4.135086704,0.948677993,19.03037146,6.30025903,76.85697871,29.87672081,151.5955659,32.6695101,313.3805503,67.30144792,10393.57263,1.120906848,128.5685546,201.4799099
