DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,MnO_wt,TiO2_wt,K2O_wt,Na2O_wt,CaO_wt,BaO_wt,F,Cl,H2O,Total
Curryetal2021a,SnowshoeMountainTuff,47.51,7.01,13.2,14.38,0.5165,1.4647,0.7875,1.47,11.37,NA,NA,0.1151,NA,97.8657
Curryetal2021a,SnowshoeMountainTuff,47.29,7.36,13.32,14.33,0.5419,1.5465,0.8209,1.55,11.37,NA,NA,0.1141,NA,98.2891
Curryetal2021a,SnowshoeMountainTuff,46.95,7.44,13.2,14.04,0.5444,1.5569,0.8581,1.59,11.28,NA,NA,0.118,NA,97.611
Curryetal2021a,SnowshoeMountainTuff,46.62,7.02,13.16,14.06,0.5603,1.4479,0.7942,1.5,11.39,NA,NA,0.1159,NA,96.6996
Curryetal2021a,SnowshoeMountainTuff,46.86,7.02,13.11,14.2,0.5591,1.5092,0.7981,1.51,11.32,NA,NA,0.1028,NA,97.0499
Curryetal2021a,SnowshoeMountainTuff,47.11,6.76,12.95,14.42,0.5886,1.469,0.7302,1.46,11.35,NA,NA,0.0907,NA,96.9417
Curryetal2021a,SnowshoeMountainTuff,45.11,8.37,13.77,13.41,0.596,1.96,0.8808,1.73,11.19,NA,NA,0.0927,NA,97.1678
Curryetal2021a,SnowshoeMountainTuff,45.09,8.53,13.93,13.33,0.5924,1.99,0.8889,1.82,11.22,NA,NA,0.091,NA,97.5483
Curryetal2021a,SnowshoeMountainTuff,45.25,8.5,13.85,13.38,0.5884,2,0.9049,1.79,11.28,NA,NA,0.0894,NA,97.6687
Curryetal2021a,SnowshoeMountainTuff,45.06,8.58,13.9,13.22,0.577,2.05,0.9238,1.78,11.29,NA,NA,0.0866,NA,97.5014
Curryetal2021a,SnowshoeMountainTuff,44.92,8.72,13.97,13.24,0.5704,2.06,0.9134,1.83,11.21,NA,NA,0.0899,NA,97.5757
Curryetal2021a,SnowshoeMountainTuff,44.91,8.74,13.9,13.18,0.5693,2.03,0.9595,1.79,11.31,NA,NA,0.0968,NA,97.4979
