DataSource,Eruption,Li_ppm,Ti_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curryetal2021a,SnowshoeMountainTuff,22,680,176,91.7,6.6,78.7,12.4,4.4,350.0588502,28.32753748,40.31761083,3.288828805,9.127686998,1.185764624,0.2657904,0.832640961,0.134815695,0.845073712,0.185025282,0.611215011,0.118528299,1.065987726,0.179524374,3.022158862,0.762400088,23.01924808,15.35127782,6.104744247
Curryetal2021a,SnowshoeMountainTuff,23.3,688.7,178.7,91.9,6.8,78,12.7,4.3,370.6688755,30.61962501,42.00517671,3.355816779,9.52563836,1.43060381,0.303023155,0.859288741,0.141194527,0.950066767,0.198454602,0.648952646,0.123934502,1.137715072,0.18508843,3.247963857,0.720758402,24.12102567,16.0831993,6.126316893
Curryetal2021a,SnowshoeMountainTuff,23.4,696,177.8,89.5,6.8,79.6,13,4.3,360.2883259,29.25135275,42.48061025,3.359173509,9.340117897,1.246054164,0.260580752,0.785807148,0.134846161,0.795206,0.20569895,0.661754748,0.116259496,1.072473666,0.194508093,3.02571809,0.737286761,23.1121812,15.56304161,6.234145729
Curryetal2021a,SnowshoeMountainTuff,18.5,1205.6,176.3,163.6,19.1,182.2,19.2,4.2,972.7851288,45.41011228,84.39518857,8.800904264,29.4909721,5.031471107,0.751242433,3.635647079,0.503499164,3.146767229,0.630882392,2.035317177,0.313109083,2.364997284,0.371701172,5.482472501,1.299725027,27.82559494,14.63353231,5.572977285
Curryetal2021a,SnowshoeMountainTuff,13.3,1161.5,165.1,156.5,17.4,169.4,18.6,4,899.7806001,40.80389365,77.13339151,8.060520744,26.04136368,4.179914074,0.614028853,3.20479838,0.470115866,2.899054909,0.591804563,1.791815296,0.285714135,2.064595152,0.316545141,5.208756215,1.278922807,24.60539914,13.35933691,5.341155235
Curryetal2021a,SnowshoeMountainTuff,16.4,1250.7,162.8,148.7,14.7,159.2,17.5,3.8,815.0268899,35.8415145,64.90089029,6.935614992,22.64949182,3.836638461,0.679334144,2.886327982,0.43091313,2.318972638,0.515729868,1.578348592,0.218049946,1.649974026,0.250734689,4.629949693,1.208069012,24.95171658,11.63045365,4.68313433
Curryetal2021a,SnowshoeMountainTuff,12.6,1133.4,166.8,156.3,15.5,164,17.7,4.1,829.5474215,37.28607994,70.02152171,7.192903163,23.74267315,4.015934017,0.635532314,2.879997706,0.436950815,2.648119296,0.526488088,1.714122583,0.266516184,1.759333942,0.291465767,4.812456052,1.197091419,21.85780718,12.21502015,4.853241514
Curryetal2021a,SnowshoeMountainTuff,13.6,1212.2,174.3,168.5,18.2,182.3,18.7,4.2,953.9651353,43.62527638,81.1415304,8.473369325,28.73460821,4.600424699,0.645083494,3.191922896,0.490102267,2.893726815,0.60608397,1.874117754,0.328712672,2.120280491,0.359459841,5.42841372,1.303152069,25.60292625,13.96888729,5.370065067
Curryetal2021a,SnowshoeMountainTuff,14.4,1308.1,179.8,180.6,20.1,191.4,19.3,4.2,994.3808783,46.48466183,85.58199346,9.259177753,30.61466149,4.975463976,0.785573099,3.420151675,0.527110206,3.309131154,0.660001936,2.074445558,0.332375133,2.217774517,0.359202548,5.653957584,1.36442391,26.74917335,14.68007053,5.58993441
Curryetal2021a,SnowshoeMountainTuff,17.9,1212.8,173.3,161.8,19.1,178.3,19.2,4.2,945.8256226,44.23929745,82.39984935,8.528550178,28.87531865,4.645478486,0.756533154,3.455536947,0.493122598,3.063550199,0.633607596,1.950710659,0.299491695,2.254890045,0.353327219,5.476268818,1.3274516,26.10271365,14.31742047,5.509085829
