DataSource,Eruption,SiO2_wt,TiO2_wt,Al2O3_wt,FeO_wt,MnO_wt,MgO_wt,CaO_wt,Na2O_wt,Total
Doraisetal1991,CarpenterRidgeTuff,52.94,0.15,1.47,7.07,0.69,15.38,22.29,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.81,0.21,1.43,8.44,0.75,15.16,22.52,NA,NA
Doraisetal1991,CarpenterRidgeTuff,52.37,0.22,1.43,8.37,0.72,15.33,22.75,NA,NA
Doraisetal1991,CarpenterRidgeTuff,50.84,0.26,1.67,8.45,0.84,14.45,22.4,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.59,0.26,1.7,8.41,0.84,14.88,22.95,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.43,0.29,1.61,8.49,0.86,13.91,22.44,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.54,0.29,1.65,8.49,0.86,14.68,21.82,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.95,0.25,1.29,8.59,0.82,14.8,22.63,NA,NA
Doraisetal1991,CarpenterRidgeTuff,52.08,0.16,1.53,8.95,0.77,14.96,22.46,NA,NA
Curryetal2021a,CebollaCreekTuff,53.17,0.2453,1.5716,8.21,0.7549,14.54,22.41,0.4522,101.354
Curryetal2021a,CebollaCreekTuff,53.73,0.1785,1.0325,7.82,0.8788,14.66,22.67,0.4029,101.3727
Curryetal2021a,CebollaCreekTuff,53.99,0.1931,1.0333,8.15,0.923,14.16,22.31,0.3902,101.1496
Curryetal2021a,CebollaCreekTuff,53.86,0.2007,1.061,7.89,0.6329,14.8,22.36,0.3686,101.1732
Curryetal2021a,CebollaCreekTuff,53.65,0.1893,1.0113,8.03,0.9055,14.46,22.44,0.3763,101.0624
Curryetal2021a,CebollaCreekTuff,53.58,0.1868,1.0586,8.47,0.9593,13.99,22.18,0.4471,100.8718
Curryetal2021a,CebollaCreekTuff,53.02,0.2918,1.5582,8.24,0.6286,14.57,22.27,0.4266,101.0052
Curryetal2021a,CebollaCreekTuff,53.43,0.1838,1.0257,8.02,0.9211,14.48,22.47,0.3978,100.9284
Curryetal2021a,CebollaCreekTuff,53.59,0.1805,1.0905,8.52,0.9644,14.03,22.13,0.4748,100.9802
Curryetal2021a,CebollaCreekTuff,52.82,0.3276,1.749,8.27,0.6263,14.41,22.29,0.4441,100.937
Curryetal2021a,CebollaCreekTuff,53.62,0.1838,0.9896,7.77,0.8637,14.64,22.5,0.3607,100.9278
Curryetal2021a,CebollaCreekTuff,53.55,0.1928,1.1329,8.5,0.9599,13.94,22.1,0.4552,100.8308
Curryetal2021a,CebollaCreekTuff,52.99,0.322,1.4842,8.23,0.6551,14.63,22,0.4703,100.7816
Curryetal2021a,CebollaCreekTuff,53.59,0.1904,1.0519,7.93,0.9082,14.56,22.52,0.3658,101.1163
Curryetal2021a,CebollaCreekTuff,53.66,0.1929,1.0356,8.02,0.9173,14.25,22.4,0.4343,100.9101
Curryetal2021a,CebollaCreekTuff,53.05,0.3255,1.3658,8.33,0.7076,14.59,22.1,0.4212,100.8901
Curryetal2021a,CebollaCreekTuff,53.68,0.1746,0.9493,7.68,0.9116,14.57,22.62,0.3403,100.9258
Curryetal2021a,CebollaCreekTuff,53.63,0.1958,1.0284,7.73,0.9163,14.36,22.47,0.3837,100.7142
Curryetal2021a,CebollaCreekTuff,53.51,0.2058,1.0585,8.11,0.7262,14.59,22.19,0.3951,100.7856
Curryetal2021a,CebollaCreekTuff,52.88,0.1646,0.933,8.01,0.9225,14.19,22.51,0.3905,100.0006
Curryetal2021a,CebollaCreekTuff,53.57,0.1853,1.0117,7.92,0.9194,14.24,22.48,0.4051,100.7315
Curryetal2021a,CebollaCreekTuff,53.26,0.2193,1.5772,8.16,0.7335,14.44,22.3,0.4319,101.1219
Curryetal2021a,CebollaCreekTuff,53.53,0.1825,1.005,7.69,0.8684,14.81,22.62,0.3502,101.0561
Curryetal2021a,CebollaCreekTuff,53.89,0.1741,0.9314,7.78,0.8908,14.39,22.54,0.3792,100.9755
Curryetal2021a,CebollaCreekTuff,53.1,0.2213,1.4351,8.06,0.7359,14.61,22.3,0.413,100.8753
Curryetal2021a,CebollaCreekTuff,53.79,0.1867,1.0042,7.75,0.8611,14.66,22.58,0.3368,101.1688
Curryetal2021a,CebollaCreekTuff,54.14,0.1669,0.8756,7.62,0.8857,14.48,22.62,0.3056,101.0938
Curryetal2021a,CebollaCreekTuff,52.85,0.2499,1.5147,8.12,0.7215,14.47,22.3,0.4269,100.653
Curryetal2021a,CebollaCreekTuff,53.56,0.2012,1.0455,7.71,0.888,14.65,22.67,0.3535,101.0782
Curryetal2021a,CebollaCreekTuff,53.97,0.1868,0.9374,7.81,0.8874,14.42,22.62,0.3309,101.1625
Curryetal2021a,CebollaCreekTuff,52,0.3032,1.8298,8.29,0.7149,14.32,22.12,0.4262,100.0041
Curryetal2021a,CebollaCreekTuff,53.68,0.182,0.9582,7.67,0.8954,14.57,22.65,0.368,100.9736
Curryetal2021a,CebollaCreekTuff,53.9,0.1819,0.9197,7.9,0.9037,14.31,22.47,0.3846,100.9699
Curryetal2021a,CebollaCreekTuff,53.1,0.2242,1.3336,8.09,0.7273,14.67,22.29,0.428,100.8631
Curryetal2021a,CebollaCreekTuff,53.77,0.1787,0.9608,7.72,0.8952,14.73,22.75,0.3535,101.3582
Curryetal2021a,CebollaCreekTuff,54.28,0.1806,0.8658,7.8,0.8834,14.44,22.56,0.3608,101.3706
Curryetal2021a,CebollaCreekTuff,52.9,0.225,1.2966,8.12,0.7169,14.64,22.33,0.3969,100.6254
Curryetal2021a,CebollaCreekTuff,53.82,0.1902,0.9487,7.74,0.9035,14.61,22.67,0.3562,101.2386
Curryetal2021a,CebollaCreekTuff,54.03,0.1779,0.8427,7.6,0.8888,14.56,22.6,0.3332,101.0326
Curryetal2021a,CebollaCreekTuff,53.12,0.179,1.079,7.99,0.7234,14.84,22.34,0.3896,100.661
Curryetal2021a,CebollaCreekTuff,53.74,0.1884,0.9708,7.64,0.8576,14.58,22.56,0.3639,100.9007
Curryetal2021a,CebollaCreekTuff,54,0.1829,0.899,7.75,0.8896,14.53,22.63,0.3686,101.2501
Curryetal2021a,CebollaCreekTuff,52.73,0.1537,1.0137,7.92,0.6585,14.85,22.3,0.364,99.9899
Curryetal2021a,CebollaCreekTuff,53.56,0.2029,1.0434,7.77,0.8836,14.57,22.63,0.3899,101.0498
Curryetal2021a,CebollaCreekTuff,53.88,0.1898,0.9238,7.87,0.9039,14.35,22.47,0.3768,100.9643
Curryetal2021a,CebollaCreekTuff,51.79,0.246,1.0297,8.68,0.6988,14.34,21.62,0.4197,98.8242
Curryetal2021a,CebollaCreekTuff,51.91,0.1286,0.8794,8.57,0.7607,13.74,22.05,0.4426,98.4813
Curryetal2021a,CebollaCreekTuff,52.06,0.197,0.9201,8.58,0.7568,14.07,21.69,0.4214,98.6953
Curryetal2021a,CebollaCreekTuff,51.8,0.1685,0.9187,8.58,0.73,13.87,22.01,0.4255,98.5027
Curryetal2021a,CebollaCreekTuff,51.95,0.1644,0.7969,8.43,0.8049,14.13,21.87,0.3911,98.5373
Curryetal2021a,CebollaCreekTuff,51.97,0.1592,0.9153,8.43,0.7893,14.13,21.9,0.3959,98.6897
Curryetal2021a,CebollaCreekTuff,52.16,0.1849,0.8497,8.58,0.7866,14.12,21.79,0.3808,98.852
Curryetal2021a,CebollaCreekTuff,52.15,0.187,0.8978,8.64,0.7715,13.93,21.93,0.4222,98.9285
Curryetal2021a,CebollaCreekTuff,52.25,0.1736,0.8052,8.72,0.8046,14.06,21.72,0.4145,98.9479
Curryetal2021a,CebollaCreekTuff,51.85,0.2373,1.0745,8.62,0.6907,14.32,21.53,0.4114,98.7339
Curryetal2021a,CebollaCreekTuff,52.11,0.1594,0.9312,8.84,0.7734,13.81,21.87,0.4492,98.9432
Curryetal2021a,CebollaCreekTuff,51.37,0.1863,0.8806,8.66,0.7386,14.09,22.1,0.448,98.4735
Curryetal2021a,CebollaCreekTuff,51.85,0.1878,0.8416,8.24,0.7698,14.22,22.28,0.3818,98.771
Curryetal2021a,CebollaCreekTuff,51.82,0.1793,0.8395,8.34,0.7576,14.26,22.21,0.412,98.8184
Curryetal2021a,CebollaCreekTuff,51.63,0.176,0.8692,8.33,0.7721,14.26,22.32,0.4023,98.7596
Curryetal2021a,CebollaCreekTuff,51.92,0.1691,0.8264,8.36,0.8173,14.27,22.28,0.4032,99.046
Curryetal2021a,CebollaCreekTuff,51.4,0.1319,0.9502,9.05,0.8513,13.49,22.24,0.5083,98.6217
Curryetal2021a,CebollaCreekTuff,52.19,0.1652,0.7835,8.49,0.6849,14.64,21.64,0.3515,98.9451
Curryetal2021a,CebollaCreekTuff,51.84,0.2198,0.9133,8.43,0.7186,14.33,22,0.3745,98.8262
Curryetal2021a,CebollaCreekTuff,51.69,0.1884,0.9249,8.66,0.7436,14.08,21.84,0.4242,98.5511
Curryetal2021a,CebollaCreekTuff,52.01,0.1975,0.8989,8.42,0.7284,14.32,21.77,0.4028,98.7476
Curryetal2021a,CebollaCreekTuff,51.84,0.199,0.8579,8.54,0.7854,14.13,21.94,0.3957,98.688
Curryetal2021a,CebollaCreekTuff,52.05,0.1653,0.8947,8.53,0.7646,13.93,22.02,0.4565,98.8111
Curryetal2021a,CebollaCreekTuff,52.91,0.2707,1.0996,8.39,0.6498,14.67,22.57,0.3817,100.9418
Curryetal2021a,CebollaCreekTuff,52.89,0.3299,1.2191,8.41,0.6352,14.81,22.14,0.4051,100.8393
Curryetal2021a,CebollaCreekTuff,52.62,0.1598,1.0211,9.57,0.8308,13.33,22.85,0.5137,100.8954
Curryetal2021a,CebollaCreekTuff,52.51,0.3521,1.3004,8.45,0.7066,14.57,22.52,0.4195,100.8286
Curryetal2021a,CebollaCreekTuff,53.09,0.132,0.8662,8.44,0.8368,14.09,22.89,0.3803,100.7253
Curryetal2021a,NelsonMountainTuff,53.09,0.189,0.796,8.47,0.7571,14.81,22.22,0.3873,100.7194
Curryetal2021a,NelsonMountainTuff,52.57,0.2802,1.0741,8.73,0.652,14.89,21.9,0.4244,100.5207
Curryetal2021a,NelsonMountainTuff,52.93,0.116,0.6255,8.19,0.9336,14.3,23.09,0.3945,100.5796
Curryetal2021a,NelsonMountainTuff,52.77,0.1949,0.9121,7.99,0.7417,14.54,22.38,0.3799,99.9086
Curryetal2021a,NelsonMountainTuff,52.51,0.1777,0.8375,7.92,0.7586,14.09,22.41,0.4027,99.1065
Curryetal2021a,NelsonMountainTuff,52.77,0.1754,0.7847,7.92,0.7627,14.09,22.55,0.3954,99.4482
Curryetal2021a,NelsonMountainTuff,52.61,0.1693,0.7339,7.82,0.7628,14.15,22.51,0.3842,99.1402
Curryetal2021a,NelsonMountainTuff,52.75,0.1795,0.8313,7.86,0.7557,14.1,22.5,0.3859,99.3624
Curryetal2021a,NelsonMountainTuff,52.59,0.1755,0.8224,7.85,0.7317,14.2,22.63,0.4054,99.405
Curryetal2021a,NelsonMountainTuff,53.21,0.1725,0.8129,7.87,0.7415,14.55,22.47,0.3781,100.205
Curryetal2021a,NelsonMountainTuff,52.52,0.1649,0.7523,7.89,0.732,14.12,22.46,0.3777,99.0169
Curryetal2021a,NelsonMountainTuff,52.84,0.1777,0.7487,7.85,0.7163,14.25,22.62,0.3771,99.5798
Curryetal2021a,NelsonMountainTuff,52.38,0.1827,0.8538,7.92,0.7597,14.17,22.5,0.3665,99.1327
Curryetal2021a,NelsonMountainTuff,52.7,0.1665,0.8543,8,0.761,14.5,22.41,0.3591,99.7509
Curryetal2021a,NelsonMountainTuff,52.18,0.2118,0.898,8.06,0.7842,14.06,22.32,0.3749,98.8889
Curryetal2021a,NelsonMountainTuff,52.77,0.1639,0.8162,8.06,0.7609,14.44,22.39,0.3832,99.7842
Curryetal2021a,NelsonMountainTuff,52.72,0.1802,0.8308,8.05,0.7655,14.5,22.4,0.3683,99.8148
Curryetal2021a,NelsonMountainTuff,52.77,0.1802,0.828,8.05,0.756,14.43,22.46,0.3816,99.8558
Curryetal2021a,NelsonMountainTuff,52.62,0.1816,0.8648,8.08,0.7463,14.31,22.43,0.402,99.6347
Curryetal2021a,NelsonMountainTuff,52.76,0.1546,0.7321,7.95,0.7366,14.41,22.54,0.392,99.6753
Curryetal2021a,NelsonMountainTuff,52.78,0.1617,0.7365,8.07,0.7662,14.3,22.53,0.4102,99.7546
Curryetal2021a,NelsonMountainTuff,53.05,0.2285,1.1089,8.61,0.7968,14.3,21.9,0.4091,100.4033
Curryetal2021a,NelsonMountainTuff,52.39,0.2397,1.0831,8.88,0.5123,14.66,21.38,0.3648,99.5099
Curryetal2021a,NelsonMountainTuff,52.37,0.2594,1.1835,8.79,0.4787,14.47,21.53,0.354,99.4356
Curryetal2021a,NelsonMountainTuff,52.49,0.2728,1.1352,8.65,0.4879,14.36,21.68,0.4033,99.4792
Curryetal2021a,NelsonMountainTuff,52.45,0.2333,1.1484,8.61,0.4753,14.34,21.89,0.3887,99.5357
Curryetal2021a,NelsonMountainTuff,52.71,0.2286,1.1369,8.76,0.4748,14.26,21.97,0.3626,99.9029
Curryetal2021a,NelsonMountainTuff,52.66,0.2461,1.1419,8.73,0.4694,14.32,21.89,0.3722,99.8296
Curryetal2021a,NelsonMountainTuff,52.6,0.2486,1.0631,9.66,0.4782,14.87,20.56,0.357,99.8369
Curryetal2021a,NelsonMountainTuff,52.77,0.2531,1.0976,8.74,0.464,14.43,21.7,0.3757,99.8304
Curryetal2021a,NelsonMountainTuff,52.79,0.2204,1.0515,8.62,0.6775,14.39,21.84,0.3972,99.9866
Curryetal2021a,NelsonMountainTuff,52.85,0.24,1.0434,8.72,0.4752,14.46,21.88,0.3664,100.035
Curryetal2021a,NelsonMountainTuff,52.61,0.2368,1.0758,8.72,0.4771,14.35,21.86,0.3705,99.7002
Curryetal2021a,NelsonMountainTuff,52.78,0.2482,1.083,8.92,0.4708,14.46,21.62,0.4108,99.9928
Curryetal2021a,NelsonMountainTuff,52.29,0.248,1.0958,8.75,0.4711,14.21,21.74,0.3822,99.1871
Curryetal2021a,NelsonMountainTuff,52.85,0.2039,0.9126,8.71,0.476,14.42,21.82,0.366,99.7585
Curryetal2021a,NelsonMountainTuff,52.57,0.2335,1.0717,8.75,0.4812,14.27,21.6,0.3644,99.3408
Curryetal2021a,NelsonMountainTuff,52.65,0.2283,1.0472,8.81,0.5008,14.39,21.84,0.3719,99.8382
Curryetal2021a,NelsonMountainTuff,52.71,0.224,1.0488,8.63,0.6883,14.4,21.66,0.3766,99.7377
Curryetal2021a,NelsonMountainTuff,52.62,0.207,0.9939,8.68,0.4781,14.32,21.95,0.3594,99.6084
Curryetal2021a,NelsonMountainTuff,52.79,0.2102,1.0563,8.6,0.6201,14.33,21.67,0.3817,99.6583
Curryetal2021a,NelsonMountainTuff,52.48,0.2204,1.1101,8.61,0.5836,14.38,21.81,0.3881,99.5822
Curryetal2021a,NelsonMountainTuff,52.66,0.2237,1.0453,8.65,0.5534,14.6,21.42,0.3774,99.5298
Curryetal2021a,NelsonMountainTuff,52.57,0.2087,0.8683,10.38,0.6386,15.61,19.15,0.334,99.7596
Curryetal2021a,NelsonMountainTuff,52.57,0.2122,0.9005,10.13,0.6022,15.41,19.61,0.3184,99.7533
Curryetal2021a,NelsonMountainTuff,52.76,0.1399,0.8138,8.24,0.7662,14.51,22.39,0.3862,100.0061
Curryetal2021a,NelsonMountainTuff,51.99,0.1427,0.8858,8.69,1.1711,13.36,22.44,0.5147,99.1943
Curryetal2021a,NelsonMountainTuff,52.69,0.1556,0.8247,8.34,0.7803,14.32,22.51,0.3981,100.0187
Curryetal2021a,NelsonMountainTuff,52.5,0.1602,0.9007,8.49,0.8161,14.23,22.35,0.4317,99.8787
Curryetal2021a,NelsonMountainTuff,52.69,0.1564,0.9408,8.48,0.8065,14.28,22.25,0.4146,100.0183
Curryetal2021a,NelsonMountainTuff,52.4,0.2041,0.93,8.38,0.7619,14.56,22.02,0.3726,99.6286
Curryetal2021a,NelsonMountainTuff,52.59,0.1598,0.8541,8.13,0.7678,14.5,22.25,0.3779,99.6296
Curryetal2021a,NelsonMountainTuff,52.42,0.161,0.7922,8.17,0.7869,14.3,22.52,0.402,99.5521
Curryetal2021a,NelsonMountainTuff,52.51,0.1487,0.8363,8.26,0.8031,14.07,23.02,0.3551,100.0032
Curryetal2021a,NelsonMountainTuff,52.21,0.1397,0.8263,8.13,0.8797,14.13,22.76,0.3818,99.4575
Curryetal2021a,NelsonMountainTuff,53.08,0.14,0.7965,8.68,0.8757,13.89,22.74,0.3954,100.5976
Curryetal2021a,NelsonMountainTuff,52.99,0.1491,0.7946,8.49,0.8483,14.12,22.8,0.3713,100.5633
Curryetal2021a,NelsonMountainTuff,52.88,0.1565,0.9007,8.89,0.8449,14,22.29,0.4362,100.3983
Curryetal2021a,NelsonMountainTuff,53.09,0.1727,0.8922,8.61,0.8439,14.47,21.99,0.3842,100.453
Curryetal2021a,NelsonMountainTuff,52.64,0.1823,0.8301,8.51,0.8525,14.43,22.2,0.3937,100.0386
Curryetal2021a,NelsonMountainTuff,52.59,0.1671,1.0496,9.01,0.8537,13.81,22.22,0.4375,100.1379
Curryetal2021a,NelsonMountainTuff,52.94,0.1532,0.8765,8.61,0.8658,14.21,22.21,0.4235,100.289
Curryetal2021a,RatCreekTuff,52.78,0.188,0.9449,8.19,0.7198,14.45,22.26,0.3973,99.93
Curryetal2021a,RatCreekTuff,53.19,0.1709,0.9396,8.22,0.7747,14.43,22.31,0.4203,100.4555
Curryetal2021a,RatCreekTuff,52.92,0.2001,1.0492,8.25,0.7353,14.41,22.22,0.4183,100.2029
Curryetal2021a,RatCreekTuff,52.83,0.1756,0.9431,8.11,0.7426,14.36,22.33,0.3997,99.891
Curryetal2021a,RatCreekTuff,52.78,0.1638,0.8756,8.4,0.7602,14.32,22.2,0.41,99.9096
Curryetal2021a,RatCreekTuff,52.84,0.2091,1.0796,8.64,0.6957,14.26,21.92,0.4556,100.1
Curryetal2021a,RatCreekTuff,53.22,0.1659,0.9053,8.43,0.7628,14.31,22.54,0.4321,100.7661
Curryetal2021a,RatCreekTuff,52.95,0.1819,1.0023,8.49,0.7882,14.34,22.2,0.4255,100.3779
Curryetal2021a,RatCreekTuff,49.81,1.1222,4.22,8.73,0.216,14.63,20.88,0.387,99.9952
Curryetal2021a,RatCreekTuff,49.41,1.0955,5.17,8.79,0.1889,13.94,21.26,0.3883,100.2427
Curryetal2021a,RatCreekTuff,50.55,1.1477,4.32,8.41,0.1761,14.27,21.76,0.3712,101.005
Curryetal2021a,RatCreekTuff,52.17,0.6912,3.3,7.43,0.1571,15.07,21.29,0.4246,100.5329
Curryetal2021a,RatCreekTuff,53.04,0.5149,1.8851,8.11,0.2379,16.56,20.18,0.2631,100.791
Curryetal2021a,RatCreekTuff,52.32,0.7053,2.54,9.16,0.3389,16.7,18.2,0.2176,100.1818
Curryetal2021a,RatCreekTuff,52.39,0.5283,2.84,6.85,0.1636,15.58,21.16,0.4564,99.9683
Curryetal2021a,RatCreekTuff,52.43,0.5218,2.89,6.93,0.1765,15.55,21.21,0.4518,100.1601
Curryetal2021a,RatCreekTuff,53.38,0.496,1.9,8.41,0.2689,16.88,19.88,0.2619,101.4768
Curryetal2021a,RatCreekTuff,52.32,0.5053,2.84,6.84,0.1664,15.73,21.08,0.4521,99.9338
Curryetal2021a,RatCreekTuff,53.05,0.5854,2.01,8.66,0.2873,16.8,19.53,0.2158,101.1385
Curryetal2021a,RatCreekTuff,52.29,0.541,2.8,7.04,0.1802,15.73,21.09,0.4488,100.12
Curryetal2021a,RatCreekTuff,50.99,0.9597,3.92,9.26,0.277,15.39,19.89,0.3003,100.987
Curryetal2021a,RatCreekTuff,52.1,0.5742,3.11,7.06,0.1938,15.59,20.9,0.4793,100.0073
Curryetal2021a,RatCreekTuff,52.01,0.7682,2.88,7.93,0.2486,15.58,21.08,0.302,100.7988
Curryetal2021a,RatCreekTuff,52.1,0.57,3.1,7.01,0.1462,15.63,21.11,0.4764,100.1426
Curryetal2021a,RatCreekTuff,52.29,0.5313,3.03,6.96,0.162,15.73,20.87,0.4924,100.0657
Curryetal2021a,RatCreekTuff,52.28,0.582,3.07,7.02,0.1516,15.46,21.2,0.4453,100.2089
Curryetal2021a,RatCreekTuff,50.72,0.8484,4.3,8.33,0.1825,14.7,20.49,0.5051,100.076
Curryetal2021a,RatCreekTuff,50.96,0.9279,3.85,7.95,0.1435,14.51,21.78,0.398,100.5194
Curryetal2021a,RatCreekTuff,50.3,1.0542,4.2,8.6,0.1952,14.4,21.09,0.355,100.1944
Curryetal2021a,RatCreekTuff,50.84,0.8846,4.03,8.49,0.2112,14.66,21.31,0.399,100.8248
Curryetal2021a,RatCreekTuff,50.67,1.0067,3.94,8.45,0.1741,14.7,21.21,0.3742,100.525
Curryetal2021a,RatCreekTuff,52.55,0.5943,3.06,7.12,0.1709,15.42,21.22,0.4392,100.5744
Curryetal2021a,RatCreekTuff,50.24,1.0251,4.37,8.07,0.1916,14.15,21.55,0.3804,99.9771
Curryetal2021a,RatCreekTuff,52.35,0.4606,1.96,9.05,0.5247,12.96,22.71,0.5459,100.5612
Curryetal2021a,RatCreekTuff,50.82,0.9792,4.06,8.48,0.1986,14.73,21.19,0.3772,100.835
Curryetal2021a,RatCreekTuff,51.11,0.9593,3.77,8.58,0.1904,14.94,20.82,0.3417,100.7114
Curryetal2021a,RatCreekTuff,52.63,0.5396,2.97,6.77,0.1794,15.7,21.2,0.4455,100.4345
Curryetal2021a,RatCreekTuff,50.8,1.0011,3.86,8.75,0.2186,15.13,20.42,0.3547,100.5344
Curryetal2021a,RatCreekTuff,50.88,0.916,3.92,8.48,0.2103,15.14,21.01,0.3431,100.8994
Curryetal2021a,RatCreekTuff,53.29,0.5178,1.8555,8.38,0.2413,16.56,19.96,0.2548,101.0594
Curryetal2021a,RatCreekTuff,52.93,0.4807,3,6.78,0.1546,15.84,20.64,0.4881,100.3134
Curryetal2021a,RatCreekTuff,51.63,0.789,3.16,8.2,0.1994,15.11,20.89,0.347,100.3254
Curryetal2021a,RatCreekTuff,52.69,0.5993,2.47,8.68,0.2325,16.67,19.54,0.3309,101.2127
Curryetal2021a,RatCreekTuff,53.32,0.4866,1.8853,8.57,0.2674,16.77,19.3,0.2386,100.8379
Curryetal2021a,RatCreekTuff,52.99,0.43,3.18,6.72,0.1724,16.19,20.18,0.5648,100.4272
Curryetal2021a,RatCreekTuff,51.07,0.9251,3.44,8.62,0.1922,15.14,21.02,0.3289,100.7362
Curryetal2021a,RatCreekTuff,52.64,0.5552,2.14,7.75,0.2072,15.98,20.96,0.2729,100.5053
Curryetal2021a,RatCreekTuff,53.16,0.517,1.8759,8.38,0.2299,16.7,19.81,0.2417,100.9145
Curryetal2021a,RatCreekTuff,52.27,0.7168,2.4,8.64,0.26,16.11,19.66,0.2107,100.2675
Curryetal2021a,RatCreekTuff,51.36,0.8232,3.37,7.44,0.1688,14.84,21.93,0.3658,100.2978
Curryetal2021a,RatCreekTuff,53.3,0.4894,1.92,8.73,0.2732,16.8,19.04,0.2444,100.797
Curryetal2021a,RatCreekTuff,51.56,0.7717,2.9,8.68,0.2915,15.82,19.55,0.2766,99.8498
Curryetal2021a,RatCreekTuff,52.18,0.5562,2.92,6.88,0.1967,15.55,21.26,0.4625,100.0054
Curryetal2021a,RatCreekTuff,52.62,0.6331,2.34,8.35,0.2156,16.13,20.41,0.2703,100.969
Curryetal2021a,RatCreekTuff,52.21,0.5463,3.03,6.91,0.1821,15.58,21.07,0.4779,100.0063
Curryetal2021a,SnowshoeMountainTuff,52.97,0.1481,0.9768,8.68,0.8251,13.59,22.17,0.4161,99.7761
Curryetal2021a,SnowshoeMountainTuff,53,0.1528,0.962,9.16,0.8205,13.33,22.2,0.5129,100.1382
Curryetal2021a,SnowshoeMountainTuff,53.17,0.1311,0.837,8.51,0.8156,13.57,22.34,0.4391,99.8128
Curryetal2021a,SnowshoeMountainTuff,53.01,0.1427,0.8586,8.95,0.8572,13.59,22.14,0.4207,99.9692
Curryetal2021a,SnowshoeMountainTuff,52.59,0.1295,0.9145,8.59,0.8122,13.68,22.36,0.4041,99.4803
Curryetal2021a,SnowshoeMountainTuff,52.93,0.1467,0.9102,8.78,0.8155,13.4,22.34,0.4927,99.8151
Curryetal2021a,SnowshoeMountainTuff,52.88,0.1964,1.01,8.67,0.8417,13.77,22.18,0.4136,99.9617
Curryetal2021a,SnowshoeMountainTuff,53.05,0.1425,0.9571,8.98,0.8473,13.59,22.48,0.4141,100.461
Curryetal2021a,SnowshoeMountainTuff,52.36,0.1342,0.8952,8.55,0.8064,13.71,22.25,0.4023,99.1081
Curryetal2021a,SnowshoeMountainTuff,53.01,0.2033,1.152,8.8,0.8103,13.77,21.98,0.4218,100.1474
Curryetal2021a,SnowshoeMountainTuff,53.12,0.1504,0.957,8.99,0.8204,13.65,22.48,0.441,100.6088
Curryetal2021a,SnowshoeMountainTuff,52.45,0.1373,0.9272,8.44,0.8181,13.8,22.39,0.395,99.3576
Curryetal2021a,SnowshoeMountainTuff,52.92,0.1987,1.1386,8.88,0.8127,13.71,21.93,0.4326,100.0226
Curryetal2021a,SnowshoeMountainTuff,53.01,0.137,0.9486,8.87,0.8348,13.57,22.35,0.4216,100.142
Curryetal2021a,SnowshoeMountainTuff,52.47,0.1428,0.9264,8.57,0.8303,13.73,22.41,0.3704,99.4499
Curryetal2021a,SnowshoeMountainTuff,53.26,0.2019,1.0864,8.85,0.8301,13.76,21.88,0.4268,100.2952
Curryetal2021a,SnowshoeMountainTuff,52.53,0.1615,0.9466,8.99,0.8364,13.7,22.36,0.4524,99.9769
Curryetal2021a,SnowshoeMountainTuff,52.65,0.1456,0.9332,8.59,0.7829,13.72,22.43,0.393,99.6447
Curryetal2021a,SnowshoeMountainTuff,53.23,0.1525,0.9043,8.72,0.8927,13.93,21.7,0.3907,99.9202
Curryetal2021a,SnowshoeMountainTuff,53.06,0.1365,0.9579,9.02,0.8459,13.7,22.51,0.4452,100.6755
Curryetal2021a,SnowshoeMountainTuff,52.18,0.1476,0.9322,8.64,0.8063,13.68,22.51,0.4043,99.3004
Curryetal2021a,SnowshoeMountainTuff,53.37,0.1549,0.799,8.65,0.853,13.92,21.93,0.368,100.0449
Curryetal2021a,SnowshoeMountainTuff,52.85,0.1515,0.9653,8.88,0.8606,13.54,22.48,0.4146,100.142
Curryetal2021a,SnowshoeMountainTuff,52.43,0.1274,0.9067,8.68,0.828,13.66,22.38,0.4425,99.4546
Curryetal2021a,SnowshoeMountainTuff,52.89,0.2201,1.1523,9,0.8644,13.76,21.84,0.4024,100.1292
Curryetal2021a,SnowshoeMountainTuff,52.27,0.1306,0.8908,8.71,0.8303,13.52,22.35,0.41,99.1117
Curryetal2021a,SnowshoeMountainTuff,53.27,0.1786,1.0061,8.93,0.875,13.94,21.92,0.3983,100.518
Curryetal2021a,SnowshoeMountainTuff,52.43,0.1301,0.9075,8.79,0.8391,13.46,22.37,0.4493,99.376
Curryetal2021a,SnowshoeMountainTuff,53.31,0.1639,0.9755,8.74,0.8221,13.95,22.08,0.3835,100.425
Curryetal2021a,SnowshoeMountainTuff,52.41,0.1463,0.8968,8.82,0.8129,13.5,22.33,0.4409,99.3569
Curryetal2021a,SnowshoeMountainTuff,53.13,0.1907,1.0842,8.78,0.8126,13.79,21.98,0.426,100.1935
Curryetal2021a,SnowshoeMountainTuff,52.94,0.1672,1.0404,8.91,0.8305,13.51,22.15,0.4309,99.979
Curryetal2021a,SnowshoeMountainTuff,53.09,0.1495,1.0266,9.07,0.8457,13.33,22.19,0.5215,100.2233
