DataSource,Eruption,SiO2_wt,TiO2_wt,Al2O3_wt,FeO_wt,MnO_wt,MgO_wt,CaO_wt,Na2O_wt,Total
Sliwinskietal2017,MasonicParkTuff,53.05,0.16,1.0992,9.05,0.6971,14.34,21.6,0.4209,100.4172
Sliwinskietal2017,MasonicParkTuff,53.23,0.1931,1.1504,8.92,0.7429,14.32,21.72,0.4293,100.7057
Sliwinskietal2017,MasonicParkTuff,52.83,0.1846,1.1478,8.99,0.7095,14.32,21.67,0.4047,100.2566
Sliwinskietal2017,MasonicParkTuff,53.03,0.1883,1.1564,8.89,0.7305,14.37,21.85,0.4388,100.654
Sliwinskietal2017,MasonicParkTuff,52.94,0.176,1.0528,8.76,0.6826,14.41,21.72,0.3743,100.1157
Sliwinskietal2017,MasonicParkTuff,52.66,0.2658,1.4852,9.02,0.7439,14.14,21.64,0.4214,100.3763
Sliwinskietal2017,MasonicParkTuff,53.5,0.1848,1.0566,8.57,0.7619,14.37,21.69,0.3839,100.5172
Sliwinskietal2017,MasonicParkTuff,53.21,0.193,1.0415,8.51,0.7834,14.49,21.98,0.3766,100.5845
Sliwinskietal2017,MasonicParkTuff,53.22,0.1853,1.0046,8.4,0.7643,14.53,22.01,0.3546,100.4688
Sliwinskietal2017,MasonicParkTuff,53.19,0.1718,0.9909,8.38,0.7462,14.74,21.66,0.3731,100.252
Sliwinskietal2017,MasonicParkTuff,53.05,0.1849,0.9971,8.26,0.8005,14.61,21.74,0.3558,99.9983
Sliwinskietal2017,MasonicParkTuff,52.7,0.2104,1.2771,8.92,0.718,14.72,21.25,0.3645,100.16
Sliwinskietal2017,MasonicParkTuff,52.39,0.2436,1.4012,9.33,0.5292,14.54,21.7,0.4306,100.5646
Sliwinskietal2017,MasonicParkTuff,52.28,0.2151,1.4256,9.37,0.5359,14.67,21.51,0.4277,100.4343
Sliwinskietal2017,MasonicParkTuff,52.59,0.1838,1.3247,9.3,0.5473,14.52,21.56,0.436,100.4618
Sliwinskietal2017,MasonicParkTuff,52.97,0.1906,1.2877,9.18,0.605,14.46,21.62,0.4273,100.7406
Sliwinskietal2017,MasonicParkTuff,52.99,0.1931,1.2666,9.4,0.6765,14.31,21.3,0.4116,100.5478
Sliwinskietal2017,MasonicParkTuff,52.61,0.2053,1.4254,9.64,0.7151,14.29,21.29,0.4627,100.6385
Sliwinskietal2017,MasonicParkTuff,52.62,0.2209,1.4707,9.56,0.7304,14.13,21.07,0.4678,100.2698
Sliwinskietal2017,MasonicParkTuff,52.63,0.1924,1.4138,9.68,0.8091,14.08,21.13,0.5089,100.4442
Sliwinskietal2017,MasonicParkTuff,52.62,0.2107,1.4494,9.51,0.8194,14,20.94,0.4292,99.9787
Sliwinskietal2017,MasonicParkTuff,52.51,0.1905,1.3896,9.14,0.7855,14.24,21.37,0.429,100.0546
Sliwinskietal2017,MasonicParkTuff,53.19,0.1664,1.0806,8.73,0.7696,14.56,21.51,0.3925,100.3991
Sliwinskietal2017,MasonicParkTuff,53.13,0.2033,1.0992,8.65,0.7703,14.64,21.75,0.3379,100.5807
Sliwinskietal2017,MasonicParkTuff,53.1,0.1632,0.9961,8.71,0.7815,14.67,21.75,0.3945,100.5653
Sliwinskietal2017,MasonicParkTuff,53.21,0.1653,0.9629,8.39,0.7672,14.72,21.95,0.3519,100.5173
Sliwinskietal2017,MasonicParkTuff,53.25,0.1598,0.9946,8.38,0.7146,14.79,21.91,0.3725,100.5715
Sliwinskietal2017,MasonicParkTuff,53.14,0.1979,1.2554,8.85,0.7531,14.48,21.75,0.3932,100.8196
Sliwinskietal2017,MasonicParkTuff,53.85,0.2426,1.6617,8.49,0.6546,14.27,21.16,0.4428,100.7717
Sliwinskietal2017,MasonicParkTuff,52.83,0.1754,1.0864,8.62,0.6754,14.76,22.02,0.3674,100.5346
Sliwinskietal2017,MasonicParkTuff,52.48,0.193,1.1264,8.63,0.72,14.58,21.85,0.3869,99.9663
Sliwinskietal2017,MasonicParkTuff,52.7,0.1997,1.0729,8.6,0.7742,14.79,21.89,0.3717,100.3985
Sliwinskietal2017,MasonicParkTuff,52.8,0.1784,1.1041,8.76,0.7808,14.66,21.82,0.3498,100.4531
Sliwinskietal2017,MasonicParkTuff,52.48,0.1787,1.1198,8.77,0.7633,14.67,21.77,0.368,100.1198
Sliwinskietal2017,MasonicParkTuff,51.93,0.1982,1.2298,8.75,0.7694,14.54,21.74,0.3992,99.5566
Sliwinskietal2017,MasonicParkTuff,52.16,0.1985,1.1771,8.72,0.6922,14.64,21.99,0.3914,99.9692
Sliwinskietal2017,MasonicParkTuff,52.03,0.1512,1.1037,8.59,0.7477,14.67,21.99,0.3477,99.6303
Sliwinskietal2017,MasonicParkTuff,52.04,0.1376,1.3727,8.79,0.6988,14.16,21.1,0.4172,98.7163
Sliwinskietal2017,MasonicParkTuff,52.5,0.1691,1.0538,8.65,0.7454,14.59,22.04,0.3903,100.1386
Sliwinskietal2017,MasonicParkTuff,52.73,0.1647,1.0686,8.71,0.8628,14.44,21.9,0.4024,100.2785
Sliwinskietal2017,MasonicParkTuff,52.28,0.1676,1.105,8.83,0.7858,14.36,21.97,0.3877,99.8861
